contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expiry,fetch_date
AAPL250703C00140000,140.0,61.36,0.0,0.0,3.0,0,2025-07-03,2025-06-30
AAPL250703C00145000,145.0,53.74,0.0,0.0,11.0,0,2025-07-03,2025-06-30
AAPL250703C00150000,150.0,52.13,0.0,0.0,1.0,0,2025-07-03,2025-06-30
AAPL250703C00155000,155.0,43.55,0.0,0.0,1.0,0,2025-07-03,2025-06-30
AAPL250703C00160000,160.0,41.38,0.0,0.0,3.0,0,2025-07-03,2025-06-30
AAPL250703C00165000,165.0,37.16,0.0,0.0,21.0,0,2025-07-03,2025-06-30
AAPL250703C00170000,170.0,30.1,0.0,0.0,29.0,0,2025-07-03,2025-06-30
AAPL250703C00172500,172.5,30.59,0.0,0.0,,0,2025-07-03,2025-06-30
AAPL250703C00175000,175.0,26.25,0.0,0.0,17.0,0,2025-07-03,2025-06-30
AAPL250703C00177500,177.5,24.12,0.0,0.0,10.0,0,2025-07-03,2025-06-30
AAPL250703C00180000,180.0,21.07,0.0,0.0,2029.0,0,2025-07-03,2025-06-30
